거점ID,전기차 여부,주소,거점명
389,TO,서울 서초구 반포동 18-3,래미안퍼스티지(사당_고속터미널)
2420,GA,서울 도봉구 방학동 691-5  ,서현 S-OIL
278,GA,서울 강남구 논현동 123-11,논현역(논현1호공영)
465,EV,서울 양천구 목동 924번지,KT목동지사
1067,GA,서울 광진구 자양동 553-501,자양파출소 앞
218,GA,서울 강동구 길동 413-1,길동 탑스위트
112,GA,서울 광진구 화양동 10-1,건대입구역
322,GA,서울 강남구 도곡동 467-13,도곡역 4번출구(군인공제회관)
554,GA,서울 은평구 대조동 14-8,불광역 5번출구
2232,GA,서울 송파구 방이동 47,몽촌토성역 2번출구
1166,GA,서울 중구 신당4동 330-17,청구역 3번출구
1288,GA,서울 노원구 공릉동 747,화랑대역(공릉두산힐스빌)
888,GA,서울 강남구 신사동 664-23,압구정로데오역 5번출구
2088,GA,서울 구로구 구로동 170-13,서울영서초등학교 옆
816,GA,서울 관악구 신림동 1456-3,신림역5번출구
447,GA,서울 중랑구 면목동 116-1,면목본동 주민센터 앞
1110,GA,서울 관악구 조원동 571-6,조원동
113,GA,서울 광진구 화양동 49-9,건대입구역 1번출구
2210,GA,서울 은평구 신사1동 11-18,신사1동 거주자우선주차구역
487,GA,서울 서대문구 홍제동 279-43,문화촌 S-Oil
375,GA,서울 강동구 성내동 416,둔촌동역 4번출구
1052,GA,서울 동작구 사당동 1007-36,이수역 7번출구
2034,GA,서울 강남구 수서동 199-2,SRT 수서역
1840,GA,서울 강동구 성내동 439-16,GS칼텍스 신월
383,EV,서울 강서구 등촌동 688,등촌주공3단지아파트
2190,EV,서울 중구 중림동 155-1,중림종합복지센터
2363,GA,서울 동작구 신대방동 343-5,관악노인종합복지관 옆
546,GA,서울 관악구 봉천동 931-3,봉천동2
623,GA,서울 은평구 신사동 194,새절역 3번출구
2221,GA,서울 동작구 상도동 279-223,상도동 지오빌
1161,TO,서울 강동구 성내동 57-12,천호역
626,GA,서울 마포구 신수동 63-18,서강대
456,GA,서울 강동구 명일동 312-250,명일역
963,TO,서울 영등포구 영등포동4가 442-2,영등포 타임스퀘어 옆
136,TO,서울 강서구 화곡8동 890,곰달래문화복지관
2341,GA,서울 용산구 한남동 628-1,용산 한남오거리
2294,GA,서울 양천구 신정동 1056,신정4동 노상공영주차장
2426,GA,서울 서초구 반포동 49-8,반포미도아파트앞 공영
606,GA,서울 중랑구 상봉동 83-1,상봉터미널
1858,GA,서울 용산구 이촌동 411,동아그린아파트
1286,TO,서울 중랑구 묵동 28,화랑대역
1159,GA,서울 강동구 천호동 361,천호공원 앞
391,GA,서울 도봉구 방학동 717-6,롯데마트 VIC도봉점
1116,GA,서울 종로구 인의동 112-14,종로4가교차로
667,GA,서울 성동구 마장동 474-1,서울시설관리공단 교차로
2501,GA,서울 도봉구 쌍문동 422-14,덕성여대 정문 앞
1032,TO,서울 은평구 응암동 96-1,은평구청입구 교차로
264,GA,서울 동작구 노량진1동 59-35,노량진역
2577,GA,서울 은평구 역촌동 12-43,구산역 2번출구
2543,GA,서울 동작구 상도동 279-228,상도그레이스빌
345,GA,서울 금천구 독산동 1081-4,독산역
308,GA,서울 강남구 세곡동 517,대왕초등학교
898,GA,서울 서초구 양재동 301-6,양재 구룡공영주차장
915,GA,서울 영등포구 양평동2가 40-9,양평역 2번출구
186,TO,서울 구로구 구로동 810-3,구로디지털역 공영주차장
1115,TO,서울 종로구 종로4가 32-7,종로3가역
705,GA,서울 강남구 역삼동 683-34,선릉역 7번출구(디캠프)
1219,GA,서울 노원구 중계동 413-19,하이마트 중계점
1835,GA,서울 서초구 서초동 1303-1,GS칼텍스 삼방
1261,GA,서울 양천구 목동 919-7,홈플러스 목동점
1988,GA,서울 양천구 목동 951,목동금호어울림아파트
2496,GA,서울 강남구 역삼동 679,GS칼텍스 소매영업본부
2530,GA,서울 서대문구 홍제동 278-56 앞,문화촌어린이공원
70,GA,서울 강남구 논현동 7-18,강남을지병원앞사거리
771,GA,서울 동대문구 회기동 65-44,시조사삼거리
405,GA,서울 송파구 신천동 29,롯데월드타워
2570,GA,서울 동대문구 장안동 291-18,장안동 삼화에코빌3차
2242,GA,서울 구로구 고척동 264-31,고척근린공원
2373,GA,서울 중구 봉래동1가 5-36,태평로 우체국
856,GA,서울 송파구 잠실동 205-19,잠실새내역 3번출구
1072,GA,서울 송파구 잠실동 230-2,잠실본동 주민센터 앞
730,GA,서울 성북구 동소문동5가 118,성신여대역
2280,GA,서울 동대문구 청량리동 51-2,서울성심병원 뒤
2058,GA,서울 강동구 성내동 25-1,천호역 이안강동주상복합
94,EV,서울 강동구 강일동 376-60,강일리버파크5단지
851,GA,서울 강서구 화곡동 872-36,신정초교 앞
671,GA,서울 도봉구 창3동 504-21,서울신화초등학교
516,GA,서울 도봉구 방학1동 691-7,방학동 신한은행
976,GA,서울 구로구 오류동 47-1,오류동역 3번출구(삼익쇼핑센터)
458,GA,서울 서대문구 남가좌동 50-3,명지대
81,GA,서울 강동구 천호동 167-195,강동역 1번출구
19,GA,서울 강서구 가양동 151-1,SK주유소 가양점
634,GA,서울 서대문구 홍은동 428-1,서대문구청사거리
1923,EV,서울 서초구 방배4동 852-12,방배4동 주민센터
740,GA,서울 송파구 삼전동 62-2,송파구민회관
2423,GA,서울 마포구 상암동 1610-1  ,상암 임시공영주차장
992,GA,서울 성동구 상왕십리동 95,왕십리 텐즈힐몰
203,GA,서울 광진구 자양동 680-2,구의역 4번출구
2102,GA,서울 강남구 논현동 40,학동공원 앞
133,GA,서울 구로구 고척동 52-54,고척시장
2488,GA,서울 서초구 잠원동 70,뉴코아아울렛 강남점
794,GA,서울 동작구 상도3동 324-1,신대방삼거리역 1번출구
152,GA,서울 관악구 신림동 209-1,관악문화관도서관
2345,GA,서울 서대문구 홍제동 332-12,홍제역 4번출구
1033,GA,서울 은평구 녹번동 85-4,은평문화예술회관
1855,GA,서울 동대문구 답십리동 80,답십리청솔우성아파트
2313,GA,서울 성북구 정릉동 408-13,정릉동
1056,GA,서울 용산구 한남동 737-37  ,이태원역 2번출구
254,GA,서울 서초구 서초동 1600-2,남부터미널역 6번출구(담이주차장)
669,GA,서울 중구 서소문동 37,서울시청 서소문청사
