위도,경도,거점ID,전기차 여부,주소,거점명
37.45471,126.909,2260,EV,서울 금천구 시흥동 171-1,삼성체육공원
37.53726,127.1373,221,GA,서울 강동구 길동 415-5,길동역 1번출구
37.50383,126.9779,2275,GA,서울 동작구 동작동 326,동작역 5번출구
37.56055,127.0282,475,GA,서울 성동구 하왕십리동 992,무학현대아파트
37.6041,127.0261,228,GA,서울 성북구 하월곡동 104-112,길음역
37.58844,126.9441,1278,GA,서울 서대문구 홍제동 306-1,홍제역
37.52954,126.836,838,GA,서울 양천구 신월동 226-9,신월동
37.59664,126.944,2266,GA,서울 서대문구 홍은동 148-1,홍은1동 거주자우선주차구역
37.49609,127.1219,9,GA,서울 송파구 가락동 77-6 kt 가락지사,KT가락지사
37.55167,126.848,89,GA,서울 강서구 화곡동 995-3,강서구청 앞
37.53384,126.8765,1193,GA,서울 양천구 목동 906-1,파리공원
37.47611,126.9193,490,GA,서울 관악구 신림동 597-145,미성동제4공영
37.57581,127.0244,2195,GA,서울 동대문구 신설동 101-2,경복대학교 산학협력관
37.65027,127.0798,2111,GA,서울 노원구 중계동 364-3,노원문화예술회관
37.49255,127.0389,321,TO,서울 강남구 역삼동 795-25,도곡1동주민센터 교차로
37.66466,127.0439,1262,GA,서울 도봉구 방학동 707-7,홈플러스 방학점
37.50267,127.0364,1828,GA,서울 강남구 역삼동 668-13,GS칼텍스 GS타워
37.58814,127.0577,2351,GA,서울 동대문구 휘경동 308-15,회기역 2번출구
37.58644,126.9211,438,GA,서울 은평구 응암동 747-8,매바위공영주차장
37.66681,127.0448,518,GA,서울 도봉구 방학동 716,방학역 3번출구
37.51717,127.1039,1069,GA,서울 송파구 신천동11-4,잠실 푸르지오월드마크
37.49887,126.9081,867,GA,서울 영등포구 신길동 445-2,신풍역 3번출구
37.65745,127.0669,595,GA,서울 노원구 상계동 371-9,상계초교입구
37.56417,127.029,617,GA,서울 성동구 하왕십리동 903-3,상왕십리역 6번출구
37.58445,126.9982,1250,GA,서울 종로구 명륜2가 152-2,혜화역
